GlobalEventID,Day,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_Fullname,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_Fullname,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_Fullname,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,Action_Geo_FeatureID,DATEADDED,SOURCEURL
,,,,,,,,,,New Hindu Movements,New Hindu Movements,,,,,,,,,New Hindu Movements,New Hindu Movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Arya Samaj,Arya Samaj,,,,,,,,,Arya Samaj,Arya Samaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,offshoots of Hinduism,offshoots of Hinduism,,,,,,,,,offshoots of Hinduism,offshoots of Hinduism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Brahmoism,Brahmoism,,,,,,,,,Brahmoism,Brahmoism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sadharan Brahmo Samaj,Sadharan Brahmo Samaj,,,,,,,,,Sadharan Brahmo Samaj,Sadharan Brahmo Samaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,syncretic Hindu movements,syncretic Hindu movements,,,,,,,,,syncretic Hindu movements,syncretic Hindu movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sant Mat and related movements,Sant Mat and related movements,,,,,,,,,Sant Mat and related movements,Sant Mat and related movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Radha Soami   a.k.a.  Radhasoami,Radha Soami   a.k.a.  Radhasoami,,,,,,,,,Radha Soami   a.k.a.  Radhasoami,Radha Soami   a.k.a.  Radhasoami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Divine Light Mission,Divine Light Mission,,,,,,,,,Divine Light Mission,Divine Light Mission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,wellbeing-related Hindu movements,wellbeing-related Hindu movements,,,,,,,,,wellbeing-related Hindu movements,wellbeing-related Hindu movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Chopra Center,Chopra Center,,,,,,,,,Chopra Center,Chopra Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Jainism,Jainism,,,,,,,,,Jainism,Jainism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Digambar,Digambar,,,,,,,,,Digambar,Digambar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Digambar Terapanthi ,Digambar Terapanthi ,,,,,,,,,Digambar Terapanthi ,Digambar Terapanthi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Taran Panth ,Taran Panth ,,,,,,,,,Taran Panth ,Taran Panth ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Svetambara,Svetambara,,,,,,,,,Svetambara,Svetambara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Baissamprada a.k.a. Bastola ,Baissamprada a.k.a. Bastola ,,,,,,,,,Baissamprada a.k.a. Bastola ,Baissamprada a.k.a. Bastola ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Murtipujaka,Murtipujaka,,,,,,,,,Murtipujaka,Murtipujaka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sthanakvasi ,Sthanakvasi ,,,,,,,,,Sthanakvasi ,Sthanakvasi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Svetambar Terapanth,Svetambar Terapanth,,,,,,,,,Svetambar Terapanth,Svetambar Terapanth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Judaism,Judaism,,,,,,,,,Judaism,Judaism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,(any) ecumenical Jewish organization,(any) ecumenical Jewish organization,,,,,,,,,(any) ecumenical Jewish organization,(any) ecumenical Jewish organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Conservative Judaism (should we have a Sephardic Jewish code, too?) ","Conservative Judaism (should we have a Sephardic Jewish code, too?) ",,,,,,,,,"Conservative Judaism (should we have a Sephardic Jewish code, too?) ","Conservative Judaism (should we have a Sephardic Jewish code, too?) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Conservadox Judaism   (could also go under Orthodoxy),Conservadox Judaism   (could also go under Orthodoxy),,,,,,,,,Conservadox Judaism   (could also go under Orthodoxy),Conservadox Judaism   (could also go under Orthodoxy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Masorti Judaism ,Masorti Judaism ,,,,,,,,,Masorti Judaism ,Masorti Judaism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Humanistic Judaism ,Humanistic Judaism ,,,,,,,,,Humanistic Judaism ,Humanistic Judaism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Jewish Renewal ,Jewish Renewal ,,,,,,,,,Jewish Renewal ,Jewish Renewal ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Liberal Judaism ,Liberal Judaism ,,,,,,,,,Liberal Judaism ,Liberal Judaism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Neolog Judaism,Neolog Judaism,,,,,,,,,Neolog Judaism,Neolog Judaism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Orthodox Judaism,Orthodox Judaism,,,,,,,,,Orthodox Judaism,Orthodox Judaism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Chief Rabbinate of Israel,Chief Rabbinate of Israel,,,,,,,,,Chief Rabbinate of Israel,Chief Rabbinate of Israel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"Haredi/Ultra-orthodox   a.s.a. Chareidi, Charedi","Haredi/Ultra-orthodox   a.s.a. Chareidi, Charedi",,,,,,,,,"Haredi/Ultra-orthodox   a.s.a. Chareidi, Charedi","Haredi/Ultra-orthodox   a.s.a. Chareidi, Charedi",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Central Rabbinical Congress of the United States and Canada ,Central Rabbinical Congress of the United States and Canada ,,,,,,,,,Central Rabbinical Congress of the United States and Canada ,Central Rabbinical Congress of the United States and Canada ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Hasidic Judaism,Hasidic Judaism,,,,,,,,,Hasidic Judaism,Hasidic Judaism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Chabad a.k.a. Chabad-Lubavitch ,Chabad a.k.a. Chabad-Lubavitch ,,,,,,,,,Chabad a.k.a. Chabad-Lubavitch ,Chabad a.k.a. Chabad-Lubavitch ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Satmar,Satmar,,,,,,,,,Satmar,Satmar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Lithuanian/Yeshiva Haredi Judaism,Lithuanian/Yeshiva Haredi Judaism,,,,,,,,,Lithuanian/Yeshiva Haredi Judaism,Lithuanian/Yeshiva Haredi Judaism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Modern Orthodoxy inc. three subgroups: Edah; Orthodox Union; and Religious Zionist Movement ,Modern Orthodoxy inc. three subgroups: Edah; Orthodox Union; and Religious Zionist Movement ,,,,,,,,,Modern Orthodoxy inc. three subgroups: Edah; Orthodox Union; and Religious Zionist Movement ,Modern Orthodoxy inc. three subgroups: Edah; Orthodox Union; and Religious Zionist Movement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Union of Orthodox Rabbis,Union of Orthodox Rabbis,,,,,,,,,Union of Orthodox Rabbis,Union of Orthodox Rabbis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,World Agudath Israel inc. any type of Orthodox Jew ,World Agudath Israel inc. any type of Orthodox Jew ,,,,,,,,,World Agudath Israel inc. any type of Orthodox Jew ,World Agudath Israel inc. any type of Orthodox Jew ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Reconstructionist Judaism,Reconstructionist Judaism,,,,,,,,,Reconstructionist Judaism,Reconstructionist Judaism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Reform/Progressive Judaism ,Reform/Progressive Judaism ,,,,,,,,,Reform/Progressive Judaism ,Reform/Progressive Judaism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,quasi-ethnic divisions of Judaism ,quasi-ethnic divisions of Judaism ,,,,,,,,,quasi-ethnic divisions of Judaism ,quasi-ethnic divisions of Judaism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ashkenazi Judaism,Ashkenazi Judaism,,,,,,,,,Ashkenazi Judaism,Ashkenazi Judaism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Mizrahi Judaism ,Mizrahi Judaism ,,,,,,,,,Mizrahi Judaism ,Mizrahi Judaism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sephardic Judaism,Sephardic Judaism,,,,,,,,,Sephardic Judaism,Sephardic Judaism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Jewish Science ,Jewish Science ,,,,,,,,,Jewish Science ,Jewish Science ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,offshoots of Judaism ,offshoots of Judaism ,,,,,,,,,offshoots of Judaism ,offshoots of Judaism ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Samaritanism,Samaritanism,,,,,,,,,Samaritanism,Samaritanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Judaism with racial theologies ,Judaism with racial theologies ,,,,,,,,,Judaism with racial theologies ,Judaism with racial theologies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Judaism with racial theologies ,Judaism with racial theologies ,,,,,,,,,Judaism with racial theologies ,Judaism with racial theologies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Black Hebrew Israelites,Black Hebrew Israelites,,,,,,,,,Black Hebrew Israelites,Black Hebrew Israelites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,African Hebrew Israelites of Jerusalem ,African Hebrew Israelites of Jerusalem ,,,,,,,,,African Hebrew Israelites of Jerusalem ,African Hebrew Israelites of Jerusalem ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Church of God and Saints of Christ,Church of God and Saints of Christ,,,,,,,,,Church of God and Saints of Christ,Church of God and Saints of Christ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Commandment Keepers a.k.a. Holy Church of the Living God ,Commandment Keepers a.k.a. Holy Church of the Living God ,,,,,,,,,Commandment Keepers a.k.a. Holy Church of the Living God ,Commandment Keepers a.k.a. Holy Church of the Living God ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Nation of Yahweh,Nation of Yahweh,,,,,,,,,Nation of Yahweh,Nation of Yahweh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Islam,Islam,,,,,,,,,Islam,Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Muslims of controversial status ,Muslims of controversial status ,,,,,,,,,Muslims of controversial status ,Muslims of controversial status ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ahmadiyya (check this one again) ,Ahmadiyya (check this one again) ,,,,,,,,,Ahmadiyya (check this one again) ,Ahmadiyya (check this one again) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Lahore Ahmadiyya Movement ,Lahore Ahmadiyya Movement ,,,,,,,,,Lahore Ahmadiyya Movement ,Lahore Ahmadiyya Movement ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ahmadiyya Muslim Community ,Ahmadiyya Muslim Community ,,,,,,,,,Ahmadiyya Muslim Community ,Ahmadiyya Muslim Community ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,United Submitters International ,United Submitters International ,,,,,,,,,United Submitters International ,United Submitters International ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Zikri,Zikri,,,,,,,,,Zikri,Zikri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,offshoots of Islam,offshoots of Islam,,,,,,,,,offshoots of Islam,offshoots of Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Bawa Muhaiyaddeen Fellowship ,Bawa Muhaiyaddeen Fellowship ,,,,,,,,,Bawa Muhaiyaddeen Fellowship ,Bawa Muhaiyaddeen Fellowship ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Universal Sufism,Universal Sufism,,,,,,,,,Universal Sufism,Universal Sufism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Dances of Universal Peace ,Dances of Universal Peace ,,,,,,,,,Dances of Universal Peace ,Dances of Universal Peace ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,racialist  Islam,racialist  Islam,,,,,,,,,racialist  Islam,racialist  Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Black Muslim movements,Black Muslim movements,,,,,,,,,Black Muslim movements,Black Muslim movements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,American Society of Muslims (make a Black Islam section) ,American Society of Muslims (make a Black Islam section) ,,,,,,,,,American Society of Muslims (make a Black Islam section) ,American Society of Muslims (make a Black Islam section) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Moorish Science Temple of America,Moorish Science Temple of America,,,,,,,,,Moorish Science Temple of America,Moorish Science Temple of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Nation of Islam ,Nation of Islam ,,,,,,,,,Nation of Islam ,Nation of Islam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Nuwaubianism,Nuwaubianism,,,,,,,,,Nuwaubianism,Nuwaubianism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,United Nuwaubian Nation of Moors ,United Nuwaubian Nation of Moors ,,,,,,,,,United Nuwaubian Nation of Moors ,United Nuwaubian Nation of Moors ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Yamassee Native Americans,Yamassee Native Americans,,,,,,,,,Yamassee Native Americans,Yamassee Native Americans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,The Nation of Gods and Earths ,The Nation of Gods and Earths ,,,,,,,,,The Nation of Gods and Earths ,The Nation of Gods and Earths ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,United Nations of Islam ,United Nations of Islam ,,,,,,,,,United Nations of Islam ,United Nations of Islam ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,fundamentalist Muslim,fundamentalist Muslim,,,,,,,,,fundamentalist Muslim,fundamentalist Muslim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sufi,Sufi,,,,,,,,,Sufi,Sufi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Mawlawi Order a.k.a. Whirling Dervishes ,Mawlawi Order a.k.a. Whirling Dervishes ,,,,,,,,,Mawlawi Order a.k.a. Whirling Dervishes ,Mawlawi Order a.k.a. Whirling Dervishes ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Naqshbandi,Naqshbandi,,,,,,,,,Naqshbandi,Naqshbandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Shia ,Shia ,,,,,,,,,Shia ,Shia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Twelver,Twelver,,,,,,,,,Twelver,Twelver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Bektashi the Twelver Sufis ,Bektashi the Twelver Sufis ,,,,,,,,,Bektashi the Twelver Sufis ,Bektashi the Twelver Sufis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Zaidi/Zaiddiyah,Zaidi/Zaiddiyah,,,,,,,,,Zaidi/Zaiddiyah,Zaidi/Zaiddiyah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ismaili ,Ismaili ,,,,,,,,,Ismaili ,Ismaili ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Alavi Bohra,Alavi Bohra,,,,,,,,,Alavi Bohra,Alavi Bohra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Dawoodi Bohra ,Dawoodi Bohra ,,,,,,,,,Dawoodi Bohra ,Dawoodi Bohra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Mustaali ,Mustaali ,,,,,,,,,Mustaali ,Mustaali ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Hebtiahs Bohra ,Hebtiahs Bohra ,,,,,,,,,Hebtiahs Bohra ,Hebtiahs Bohra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Abta-i-Malak ,Abta-i-Malak ,,,,,,,,,Abta-i-Malak ,Abta-i-Malak ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Nizari,Nizari,,,,,,,,,Nizari,Nizari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sulaimani Bohra ,Sulaimani Bohra ,,,,,,,,,Sulaimani Bohra ,Sulaimani Bohra ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Druze ,Druze ,,,,,,,,,Druze ,Druze ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Alawi/Alewi ,Alawi/Alewi ,,,,,,,,,Alawi/Alewi ,Alawi/Alewi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Sunni,Sunni,,,,,,,,,Sunni,Sunni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Hanafi school ,Hanafi school ,,,,,,,,,Hanafi school ,Hanafi school ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Berailvi ,Berailvi ,,,,,,,,,Berailvi ,Berailvi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Deobandi ,Deobandi ,,,,,,,,,Deobandi ,Deobandi ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Hanbali school ,Hanbali school ,,,,,,,,,Hanbali school ,Hanbali school ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Maliki school ,Maliki school ,,,,,,,,,Maliki school ,Maliki school ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Shafi_i school ,Shafi_i school ,,,,,,,,,Shafi_i school ,Shafi_i school ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,syncretic Islam,syncretic Islam,,,,,,,,,syncretic Islam,syncretic Islam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Moorish Science Temple of America,Moorish Science Temple of America,,,,,,,,,Moorish Science Temple of America,Moorish Science Temple of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Shinto,Shinto,,,,,,,,,Shinto,Shinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Old Shinto Schools,Old Shinto Schools,,,,,,,,,Old Shinto Schools,Old Shinto Schools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,folk Shinto or Ko Shinto ,folk Shinto or Ko Shinto ,,,,,,,,,folk Shinto or Ko Shinto ,folk Shinto or Ko Shinto ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Imperial Shinto,Imperial Shinto,,,,,,,,,Imperial Shinto,Imperial Shinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Koshinto ,Koshinto ,,,,,,,,,Koshinto ,Koshinto ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Shrine Shinto,Shrine Shinto,,,,,,,,,Shrine Shinto,Shrine Shinto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"_New Japanese Religions_  (note, many groups in this section are offshoots)  Sect  Shinto","_New Japanese Religions_  (note, many groups in this section are offshoots)  Sect  Shinto",,,,,,,,,"_New Japanese Religions_  (note, many groups in this section are offshoots)  Sect  Shinto","_New Japanese Religions_  (note, many groups in this section are offshoots)  Sect  Shinto",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Fusokyo,Fusokyo,,,,,,,,,Fusokyo,Fusokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Izumo Oyashirokyo ,Izumo Oyashirokyo ,,,,,,,,,Izumo Oyashirokyo ,Izumo Oyashirokyo ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Jikkokyo,Jikkokyo,,,,,,,,,Jikkokyo,Jikkokyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Kyoha Shinto Rengokai,Kyoha Shinto Rengokai,,,,,,,,,Kyoha Shinto Rengokai,Kyoha Shinto Rengokai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Misogikyo,Misogikyo,,,,,,,,,Misogikyo,Misogikyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ontakekyo,Ontakekyo,,,,,,,,,Ontakekyo,Ontakekyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Shinrikyo   (N.B. This is not the same as Aum Shinrikyo),Shinrikyo   (N.B. This is not the same as Aum Shinrikyo),,,,,,,,,Shinrikyo   (N.B. This is not the same as Aum Shinrikyo),Shinrikyo   (N.B. This is not the same as Aum Shinrikyo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Shinto Shuseiha,Shinto Shuseiha,,,,,,,,,Shinto Shuseiha,Shinto Shuseiha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Shinto Taikyo,Shinto Taikyo,,,,,,,,,Shinto Taikyo,Shinto Taikyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Shinto Taiseikyo,Shinto Taiseikyo,,,,,,,,,Shinto Taiseikyo,Shinto Taiseikyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Tenrikyo,Tenrikyo,,,,,,,,,Tenrikyo,Tenrikyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Shinshukyo    (the second category of new religions based on   Shinto),Shinshukyo    (the second category of new religions based on   Shinto),,,,,,,,,Shinshukyo    (the second category of new religions based on   Shinto),Shinshukyo    (the second category of new religions based on   Shinto),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Ananaikyo,Ananaikyo,,,,,,,,,Ananaikyo,Ananaikyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Byakko Shinkokai,Byakko Shinkokai,,,,,,,,,Byakko Shinkokai,Byakko Shinkokai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Chikakusan Minshukyo Kyodan,Chikakusan Minshukyo Kyodan,,,,,,,,,Chikakusan Minshukyo Kyodan,Chikakusan Minshukyo Kyodan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
